APP_NAME,Гранд Стратегия
NEWGAME_COUNTRY,Страна
NEWGAME_SEARCH,Поиск страны...
NEWGAME_SEED,Зерно
NEWGAME_IRONMAN,Железный режим
NEWGAME_START,Начать игру
DIFF_VERY_EASY,Очень легко
DIFF_EASY,Легко
DIFF_NORMAL,Нормально
DIFF_HARD,Сложно
DIFF_VERY_HARD,Очень сложно
SETTINGS_TITLE,Настройки
SETTINGS_LANGUAGE,Язык
SETTINGS_UI_SCALE,Масштаб UI
SETTINGS_FULLSCREEN,Режим дисплея
SETTINGS_WINDOWED,Оконный
SETTINGS_BORDERLESS,Без рамки
SETTINGS_OPT_FULLSCREEN,Полноэкранный
SETTINGS_VSYNC,Вертикальная синхронизация
SETTINGS_MASTER_VOLUME,Общая громкость
SETTINGS_UI_VOLUME,Громкость интерфейса
SETTINGS_SFX_VOLUME,Громкость эффектов
LOAD_TITLE,Загрузить игру
LOAD_EMPTY,Сохранений нет
LOAD_LOAD,Загрузить
LOAD_DELETE,Удалить
CREDITS_TITLE,О создании
CREDITS_ENGINE,Движок
CREDITS_DESC,Двумерная гранд-стратегия в духе Age of History 3.
HUD_MENU,Меню
ACT_BUILD_FORT,Построить форт
MSG_FORT_FAIL,Нельзя построить форт здесь
ACT_COLONIZE,Колонизировать
MSG_COLONIZE_FAIL,Нельзя колонизировать эту провинцию
ACT_RECRUIT_COMMANDER,Нанять командира
MSG_COMMANDER_RECRUITED,Командир нанят
MSG_COMMANDER_FAIL,Нельзя нанять командира
PANEL_MILITARY,Армия
MIL_ARMIES,армий
MIL_UNITS,отрядов
PANEL_BUILDINGS,Постройки
PANEL_BUILT,Построено
MSG_BUILD_FAIL,Нельзя построить здесь
PANEL_DIPLOMACY,Дипломатия
MIL_SELECT_HINT,Армия выбрана — кликните по провинции на карте, чтобы двинуть её
HUD_GOLD,Золото
HUD_PER_DAY,/д
HUD_MANPOWER,Рекруты
HUD_GDP,ВВП
HUD_POP,Население
HUD_STAB,Стабильность
PANEL_LAWS,Законы
PANEL_BUILD,Строительство
MACRO_HINT,Здание выбрано — кликайте по провинциям, чтобы строить
MACRO_CHOOSE,Выберите здание, затем кликайте по провинциям
MACRO_CANCEL,Отменить строительство
REL,отн
REL_IMPROVE,улучшение отношений
REL_INSULT,оскорбление
REL_ALLIANCE,союз
REL_WAR,объявление войны
REL_PEACE,мирный договор
REL_TRADE,торговля
REL_EVENT,событие
REL_EMBARGO,эмбарго
PANEL_RELIGION,Религия
PANEL_CULTURE,Культура
ACT_CONVERT,Обратить в религию
ACT_ASSIMILATE,Ассимилировать культуру
MSG_CONVERT_FAIL,Нельзя обратить эту провинцию
MSG_ASSIMILATE_FAIL,Нельзя ассимилировать эту провинцию
REL_CHRISTIANITY,Христианство
REL_ISLAM,Ислам
REL_HINDUISM,Индуизм
REL_BUDDHISM,Буддизм
REL_JUDAISM,Иудаизм
REL_SIKHISM,Сикхизм
REL_FOLK,Народные верования
REL_IRRELIGION,Атеизм/секуляризм
REL_CHINESE_FOLK,Китайские народные
REL_SHINTO,Синтоизм
REL_OTHER,Прочие
CUL_ENGLISH,Англичане
CUL_FRENCH,Французы
CUL_GERMAN,Немцы
CUL_SPANISH,Испанцы
CUL_PORTUGUESE,Португальцы
CUL_ITALIAN,Итальянцы
CUL_RUSSIAN,Русские
CUL_UKRAINIAN,Украинцы
CUL_POLISH,Поляки
CUL_CZECH,Чехи
CUL_DUTCH,Голландцы
CUL_SCANDINAVIAN,Скандинавы
CUL_GREEK,Греки
CUL_SOUTH_SLAVIC,Южные славяне
CUL_ROMANIAN,Румыны
CUL_HUNGARIAN,Венгры
CUL_FINNISH,Финны
CUL_BALTIC,Прибалты
CUL_IRISH,Ирландцы
CUL_SCOTTISH,Шотландцы
CUL_WELSH,Валлийцы
CUL_BASQUE,Баски
CUL_CATALAN,Каталонцы
CUL_ALBANIAN,Албанцы
CUL_BULGARIAN,Болгары
CUL_BELARUSIAN,Белорусы
CUL_ARABIC,Арабы
CUL_PERSIAN,Персы
CUL_TURKISH,Турки
CUL_KURDISH,Курды
CUL_HEBREW,Евреи
CUL_BERBER,Берберы
CUL_HINDI,Хинди
CUL_BENGALI,Бенгальцы
CUL_PUNJABI,Пенджабцы
CUL_TAMIL,Тамилы
CUL_TELUGU,Телугу
CUL_MARATHI,Маратхи
CUL_GUJARATI,Гуджаратцы
CUL_URDU,Урду
CUL_PASHTUN,Пуштуны
CUL_SINHALESE,Сингалы
CUL_NEPALI,Непальцы
CUL_TIBETAN,Тибетцы
CUL_CHINESE,Китайцы (хань)
CUL_MONGOLIAN,Монголы
CUL_KOREAN,Корейцы
CUL_JAPANESE,Японцы
CUL_VIETNAMESE,Вьетнамцы
CUL_THAI,Тайцы
CUL_BURMESE,Бирманцы
CUL_KHMER,Кхмеры
CUL_FILIPINO,Филиппинцы
CUL_MALAY,Малайцы
CUL_KAZAKH,Казахи
CUL_UZBEK,Узбеки
CUL_AMHARIC,Амхара
CUL_SOMALI,Сомалийцы
CUL_SWAHILI,Суахили
CUL_YORUBA,Йоруба
CUL_IGBO,Игбо
CUL_HAUSA,Хауса
CUL_ZULU,Зулусы
CUL_SHONA,Шона
CUL_MALAGASY,Малагасийцы
CUL_OROMO,Оромо
CUL_NATIVE_AMERICAN,Коренные народы Америки
CUL_MESTIZO,Метисы
CUL_CREOLE,Креолы
CUL_ANGLO_AUSTRALIAN,Англо-австралийцы
CUL_MAORI,Маори
CUL_OTHER,Прочие
PANEL_TEMPLATES,Шаблоны армий
TPL_INFANTRY,Пехота
TPL_CAV,Пехота + кавалерия
TPL_ART,Пехота + артиллерия
TPL_MIXED,Смешанная
MACRO_RECRUIT_HINT,Шаблон выбран — кликайте по провинциям для найма
