APP_NAME,World Diplomacy
REL_INSULT,insult
REL_ALLIANCE,alliance
REL_WAR,war declared
REL_PEACE,peace treaty
REL_TRADE,trade
REL_EVENT,event
REL_EMBARGO,embargo
PANEL_RELIGION,Religion
PANEL_CULTURE,Culture
ACT_CONVERT,Convert Religion
ACT_ASSIMILATE,Assimilate Culture
MSG_CONVERT_FAIL,Cannot convert this province
MSG_ASSIMILATE_FAIL,Cannot assimilate this province
REL_CHRISTIANITY,Christianity
REL_ISLAM,Islam
REL_HINDUISM,Hinduism
REL_BUDDHISM,Buddhism
REL_JUDAISM,Judaism
REL_SIKHISM,Sikhism
REL_FOLK,Folk Religions
REL_IRRELIGION,Irreligion
REL_CHINESE_FOLK,Chinese Folk
REL_SHINTO,Shinto
REL_OTHER,Other
CUL_ENGLISH,English
CUL_FRENCH,French
CUL_GERMAN,German
CUL_SPANISH,Spanish
CUL_PORTUGUESE,Portuguese
CUL_ITALIAN,Italian
CUL_RUSSIAN,Russian
CUL_UKRAINIAN,Ukrainian
CUL_POLISH,Polish
CUL_CZECH,Czech
CUL_DUTCH,Dutch
CUL_SCANDINAVIAN,Scandinavian
CUL_GREEK,Greek
CUL_SOUTH_SLAVIC,South Slavic
CUL_ROMANIAN,Romanian
CUL_HUNGARIAN,Hungarian
CUL_FINNISH,Finnish
CUL_BALTIC,Baltic
CUL_IRISH,Irish
CUL_SCOTTISH,Scottish
CUL_WELSH,Welsh
CUL_BASQUE,Basque
CUL_CATALAN,Catalan
CUL_ALBANIAN,Albanian
CUL_BULGARIAN,Bulgarian
CUL_BELARUSIAN,Belarusian
CUL_ARABIC,Arabic
CUL_PERSIAN,Persian
CUL_TURKISH,Turkish
CUL_KURDISH,Kurdish
CUL_HEBREW,Hebrew
CUL_BERBER,Berber
CUL_HINDI,Hindi
CUL_BENGALI,Bengali
CUL_PUNJABI,Punjabi
CUL_TAMIL,Tamil
CUL_TELUGU,Telugu
CUL_MARATHI,Marathi
CUL_GUJARATI,Gujarati
CUL_URDU,Urdu
CUL_PASHTUN,Pashtun
CUL_SINHALESE,Sinhalese
CUL_NEPALI,Nepali
CUL_TIBETAN,Tibetan
CUL_CHINESE,Chinese (Han)
CUL_MONGOLIAN,Mongolian
CUL_KOREAN,Korean
CUL_JAPANESE,Japanese
CUL_VIETNAMESE,Vietnamese
CUL_THAI,Thai
CUL_BURMESE,Burmese
CUL_KHMER,Khmer
CUL_FILIPINO,Filipino
CUL_MALAY,Malay
CUL_KAZAKH,Kazakh
CUL_UZBEK,Uzbek
CUL_AMHARIC,Amharic
CUL_SOMALI,Somali
CUL_SWAHILI,Swahili
CUL_YORUBA,Yoruba
CUL_IGBO,Igbo
CUL_HAUSA,Hausa
CUL_ZULU,Zulu
CUL_SHONA,Shona
CUL_MALAGASY,Malagasy
CUL_OROMO,Oromo
CUL_NATIVE_AMERICAN,Native American
CUL_MESTIZO,Mestizo
CUL_CREOLE,Creole
CUL_ANGLO_AUSTRALIAN,Anglo-Australian
CUL_MAORI,Maori
CUL_OTHER,Other
PANEL_TEMPLATES,Army Templates
TPL_INFANTRY,Infantry
TPL_ART,Infantry + Artillery
TPL_MIXED,Mixed
MACRO_RECRUIT_HINT,Template selected — click provinces to recruit
UNIT_ARMOR,Armor
TPL_MOBILE,Infantry + Mobile Corps
FORM_EU,European Union
FORM_EAF,East African Federation
FORM_ASEAN,ASEAN Federation
TECH_AUTOMATION,Industrial Automation
TECH_RESERVE_MOBILIZATION,Reserve Mobilization
UNIT_AIR_DEFENSE,Air Defense
UNIT_DRONE,Drones
UNIT_AIR_FORCE,Air Force
UNIT_NAVY,Navy
TPL_MODERN,Modern Combined Arms
LEADER,Leader
MSG_SCENARIO_FAIL,Failed to load scenario data
PANEL_ADVISORS,Advisors
PANEL_LEGACY,Legacy Points
PANEL_BATTLES,Battle Log
ACT_ADVISOR_ECO,Hire Economic Advisor
ACT_ADVISOR_MIL,Hire Military Advisor
ACT_ADVISOR_DIP,Hire Diplomatic Advisor
ADV_ECONOMY,Economy
ADV_MILITARY,Military
ADV_DIPLOMACY,Diplomacy
REL_SANCTION,sanctions imposed
REL_LOAN,loan agreement
ACT_SANCTIONS,Toggle Sanctions
ACT_LOAN,Request Loan
PANEL_RESERVES,Reserves
PANEL_EXT_DEBT,External Debt
PANEL_EXCHANGE,Exchange Rate
PANEL_TRADE_BAL,Trade Balance
MSG_LOAN_OK,Loan received
MSG_LOAN_FAIL,Loan declined
PANEL_ECONOMY,Economy
PANEL_POLITICS,Politics
PANEL_ASSIGN_COMMANDER,Assign Commander
PANEL_RESOURCES,Resources
