code,leader_2024,leader_1936
POL,Andrzej Duda,Ignacy Mościcki
PRK,Kim Jong-un,
PRT,Marcelo Rebelo de Sousa,António Óscar Carmona
PRY,Santiago Peña,
QAT,Tamim bin Hamad Al Thani,
ROU,Klaus Iohannis,Carol II
RUS,Vladimir Putin,Joseph Stalin
RWA,Paul Kagame,
SAU,Salman bin Abdulaziz Al Saud,Ibn Saud
SDN,Abdel Fattah al-Burhan,
SEN,Bassirou Diomaye Faye,
SGP,Tharman Shanmugaratnam,
SLB,David Tiva Kapu,
SLE,Julius Maada Bio,
SLV,Nayib Bukele,
SMR,Alessandro Rossi,
SOM,Hassan Sheikh Mohamud,
SRB,Aleksandar Vučić,
SSD,Salva Kiir Mayardit,
STP,Carlos Vila Nova,
SUR,Chan Santokhi,
SVK,Peter Pellegrini,
SVN,Nataša Pirc Musar,
SWE,Carl XVI Gustaf,Gustaf V
SWZ,Mswati III,Sobhuza II
SYC,Wavel Ramkalawan,
SYR,Bashar al-Assad,
TCD,Mahamat Déby,
TGO,Faure Gnassingbé,
THA,Maha Vajiralongkorn,Ananda Mahidol
TJK,Emomali Rahmon,
TKM,Serdar Berdimuhamedow,
TLS,José Ramos-Horta,
TON,Tupou VI,Sālote Tupou III
TTO,Christine Kangaloo,
TUN,Kais Saied,
TUR,Recep Tayyip Erdoğan,Mustafa Kemal Atatürk
TUV,Feleti Teo,
TWN,Lai Ching-te,
TZA,Samia Suluhu Hassan,
UGA,Yoweri Museveni,
UKR,Volodymyr Zelenskyy,
URY,Yamandú Orsi,Gabriel Terra
USA,Joe Biden,Franklin D. Roosevelt
UZB,Shavkat Mirziyoyev,
VAT,Pope Francis,Pope Pius XI
VCT,Ralph Gonsalves,
VEN,Nicolás Maduro,Eleazar López Contreras
VNM,Tô Lâm,Bảo Đại
VUT,Nikenike Vurobaravu,
WSM,Tuimalealiʻifano Vaʻaletoʻa,
XKX,Vjosa Osmani,
YEM,Rashad al-Alimi,Yahya Muhammad Hamid ed-Din
ZAF,Cyril Ramaphosa,
ZMB,Hakainde Hichilema,
ZWE,Emmerson Mnangagwa,
